Nivel Jerarquico Empleo,Nivel Educativo,Naturaleza Jurídica,Municipio de Nacimiento,Tipo de Nombramiento,Sector Administrativo,Random Forest,Tree,Random Forest (ADMINISTRATIVO),Random Forest (ASESOR),Random Forest (ASISTENCIAL),Random Forest (AUXILIAR),Random Forest (CONTROLADOR DE TRÁNSITO AÉREO),Random Forest (DIRECTIVO),Random Forest (DIRECTIVO DOCENTE),Random Forest (DOCENTE),Random Forest (EJECUTIVO),Random Forest (ESPECIALISTA),Random Forest (INSPECTOR DE SEGURIDAD AÉREA),Random Forest (NO APLICA),Random Forest (OPERATIVO),Random Forest (ORIENTADOR DE DEFENSA O ESPÍRITU),Random Forest (PERSONERO),Random Forest (PROFESIONAL),Random Forest (PROFESIONAL ESPECIALIZADO),Random Forest (PROFESOR TITULAR),Random Forest (PROFESOR UNIVERSITARIO),Random Forest (SECRETARIOS),Random Forest (TRABAJADOR OFICIAL),Random Forest (TÉCNICO),Tree (ADMINISTRATIVO),Tree (ASESOR),Tree (ASISTENCIAL),Tree (AUXILIAR),Tree (CONTROLADOR DE TRÁNSITO AÉREO),Tree (DIRECTIVO),Tree (DIRECTIVO DOCENTE),Tree (DOCENTE),Tree (EJECUTIVO),Tree (ESPECIALISTA),Tree (INSPECTOR DE SEGURIDAD AÉREA),Tree (NO APLICA),Tree (OPERATIVO),Tree (ORIENTADOR DE DEFENSA O ESPÍRITU),Tree (PERSONERO),Tree (PROFESIONAL),Tree (PROFESIONAL ESPECIALIZADO),Tree (PROFESOR TITULAR),Tree (PROFESOR UNIVERSITARIO),Tree (SECRETARIOS),Tree (TRABAJADOR OFICIAL),Tree (TÉCNICO),Fold,Nivel Entidad,Meses de Experiencia Independiente,Orden,valor total experiencia (Meses)
ADMINISTRATIVO ASESOR ASISTENCIAL AUXILIAR CONTROLADOR\ DE\ TRÁNSITO\ AÉREO DIRECTIVO DIRECTIVO\ DOCENTE DOCENTE EJECUTIVO ESPECIALISTA INSPECTOR\ DE\ SEGURIDAD\ AÉREA NO\ APLICA OPERATIVO ORIENTADOR\ DE\ DEFENSA\ O\ ESPÍRITU PERSONERO PROFESIONAL PROFESIONAL\ ESPECIALIZADO PROFESOR\ TITULAR PROFESOR\ UNIVERSITARIO SECRETARIOS TRABAJADOR\ OFICIAL TÉCNICO,BASICA\ PRIMARIA BASICA\ SECUNDARIA EDUCACION\ MEDIA NO\ APLICA POSTGRADO PREGRADO,AGENCIA\ ESTATAL\ DE\ NATURALEZA\ ESPECIAL ALCALDÍA ASAMBLEA\ DEPARTAMENTAL ASOCIACIÓN\ DE\ MUNICIPIOS AUDITORÍA\ GENERAL\ DE\ LA\ REPÚBLICA CONCEJO\ DISTRITAL CONCEJO\ MUNICIPAL CONTRALORÍA\ DEPARTAMENTAL CONTRALORÍA\ DISTRITAL CONTRALORÍA\ GENERAL\ DE\ LA\ REPÚBLICA CONTRALORÍA\ MUNICIPAL CÁMARA\ DE\ REPRESENTANTES DEFENSORÍA\ DEL\ PUEBLO DEPARTAMENTO\ ADMINISTRATIVO EMPRESA\ DE\ SERVICIOS\ PÚBLICOS\ DOMICILIARIOS\ MIXTA EMPRESA\ DE\ SERVICIOS\ PÚBLICOS\ DOMICILIARIOS\ OFICIAL EMPRESA\ INDUSTRIAL\ Y\ COMERCIAL\ DEL\ ESTADO EMPRESA\ SOCIAL\ DEL\ ESTADO ENTE\ UNIVERSITARIO\ AUTÓNOMO ESPECIAL ESTABLECIMIENTO\ PÚBLICO FISCALÍA\ GENERAL\ DE\ LA\ NACIÓN GOBERNACIÓN INSTITUCIÓN\ PRESTADORA\ DE\ SERVICIOS\ DE\ SALUD INSTITUCIÓN\ UNIVERSITARIA INSTITUTO\ CIENTÍFICO\ Y\ TECNOLÓGICO MINISTERIO PERSONERÍA\ DISTRITAL PERSONERÍA\ MUNICIPAL PROCURADURÍA\ GENERAL\ DE\ LA\ NACIÓN REGIONES\ ADMINISTRATIVAS\ Y\ DE\ PLANIFICACIÓN\ -\ RAP REGISTRADURÍA\ NACIONAL REGIÓN\ ADMINISTRATIVA\ Y\ DE\ PLANIFICACIÓN\ ESPECIAL\ -\ RAPE SECRETARÍA\ DE\ DESPACHO SENADO\ DE\ LA\ REPÚBLICA SOCIEDAD\ ANÓNIMA SOCIEDAD\ DE\ ECONOMÍA\ MIXTA SOCIEDAD\ PÚBLICA\ POR\ ACCIONES SUPERINTENDENCIA\ CON\ PERSONERÍA\ JURÍDICA UNIDAD\ ADMINISTRATIVA\ ESPECIAL\ CON\ PERSONERÍA\ JURÍDICA UNIDAD\ ADMINISTRATIVA\ ESPECIAL\ SIN\ PERSONERÍA\ JURÍDICA ÁREA\ METROPOLITANA ÓRGANO\ AUTÓNOMO,string,CONTRATO\ LABORAL DESIGNACIÓN ELECCIÓN ELECCIÓN\ POPULAR ESCALAFONADO\ EN\ CARRERA ESCALAFONADO\ EN\ CARRERA\ REGISTRAL INCORPORACIÓN LIBRE\ NOMBRAMIENTO\ Y\ REMOCIÓN NOMBRAMIENTO\ PROVISIONAL PERIODO\ FIJO PERIODO\ PRUEBA PROVISIONAL REINCORPORACIÓN SUPERNUMERARIO TEMPORAL TRABAJADOR\ OFICIAL,"AGROPECUARIO,\ PESQUERO\ Y\ DE\ DESARROLLO\ RURAL AMBIENTE\ Y\ DESARROLLO\ SOSTENIBLE CIENCIA,\ TECNOLOGÍA\ E\ INNOVACIÓN COMERCIO,\ INDUSTRIA\ Y\ TURISMO CULTURA DEFENSA DEL\ DEPORTE,\ LA\ RECREACIÓN,\ LA\ ACTIVIDAD\ FÍSICA\ Y\ EL\ APROVECHAMIENTO\ DEL\ TIEMPO\ LIBRE EDUCACIÓN ESTADÍSTICAS FUNCIÓN\ PÚBLICA HACIENDA\ Y\ CRÉDITO\ PÚBLICO INCLUSIÓN\ SOCIAL\ Y\ RECONCILIACIÓN INTERIOR JUSTICIA\ Y\ DEL\ DERECHO MINAS\ Y\ ENERGÍA NO\ APLICA PLANEACIÓN PRESIDENCIA\ DE\ LA\ REPÚBLICA RELACIONES\ EXTERIORES SALUD\ Y\ PROTECCIÓN\ SOCIAL TECNOLOGÍAS\ DE\ LA\ INFORMACIÓN\ Y\ LAS\ COMUNICACIONES TRABAJO TRANSPORTE VIVIENDA\ CIUDAD\ Y\ TERRITORIO",ADMINISTRATIVO ASESOR ASISTENCIAL AUXILIAR CONTROLADOR\ DE\ TRÁNSITO\ AÉREO DIRECTIVO DIRECTIVO\ DOCENTE DOCENTE EJECUTIVO ESPECIALISTA INSPECTOR\ DE\ SEGURIDAD\ AÉREA NO\ APLICA OPERATIVO ORIENTADOR\ DE\ DEFENSA\ O\ ESPÍRITU PERSONERO PROFESIONAL PROFESIONAL\ ESPECIALIZADO PROFESOR\ TITULAR PROFESOR\ UNIVERSITARIO SECRETARIOS TRABAJADOR\ OFICIAL TÉCNICO,ADMINISTRATIVO ASESOR ASISTENCIAL AUXILIAR CONTROLADOR\ DE\ TRÁNSITO\ AÉREO DIRECTIVO DIRECTIVO\ DOCENTE DOCENTE EJECUTIVO ESPECIALISTA INSPECTOR\ DE\ SEGURIDAD\ AÉREA NO\ APLICA OPERATIVO ORIENTADOR\ DE\ DEFENSA\ O\ ESPÍRITU PERSONERO PROFESIONAL PROFESIONAL\ ESPECIALIZADO PROFESOR\ TITULAR PROFESOR\ UNIVERSITARIO SECRETARIOS TRABAJADOR\ OFICIAL TÉCNICO,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,1 2 3 4 5 6 7 8 9 10,CENTRAL DESCENTRALIZADO NO\ APLICA,continuous,NACIONAL TERRITORIAL,continuous
class,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,,,,
PROFESIONAL,BASICA SECUNDARIA,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,SATIVANORTE,LIBRE NOMBRAMIENTO Y REMOCIÓN,AMBIENTE Y DESARROLLO SOSTENIBLE,PROFESIONAL,PROFESIONAL,0,0.101905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661905,0,0,0,0,0,0.23619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222,0,0.555556,0,0,0,0,0,0.222222,1,NO APLICA,0,NACIONAL,425
PROFESIONAL,PREGRADO,UNIDAD ADMINISTRATIVA ESPECIAL CON PERSONERÍA JURÍDICA,ARMENIA,ESCALAFONADO EN CARRERA,NO APLICA,ASISTENCIAL,ASISTENCIAL,0,0,0.608333,0,0,0,0,0,0,0,0,0,0,0,0,0.391667,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,1,DESCENTRALIZADO,0,NACIONAL,65
PROFESIONAL,POSTGRADO,CONTRALORÍA GENERAL DE LA REPÚBLICA,MEDELLIN,LIBRE NOMBRAMIENTO Y REMOCIÓN,NO APLICA,ORIENTADOR DE DEFENSA O ESPÍRITU,PROFESIONAL,0,0.0771429,0.0733333,0,0,0,0,0,0,0,0,0,0,0.478333,0,0.0985714,0,0,0,0,0,0.272619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0.5,0,0,0,0,0,0.333333,1,CENTRAL,0,NACIONAL,90
ASESOR,PREGRADO,ALCALDÍA,PALMIRA,LIBRE NOMBRAMIENTO Y REMOCIÓN,INCLUSIÓN SOCIAL Y RECONCILIACIÓN,PROFESIONAL,PROFESIONAL,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,1,DESCENTRALIZADO,0,NACIONAL,276
PROFESIONAL,POSTGRADO,ALCALDÍA,GAMARRA,LIBRE NOMBRAMIENTO Y REMOCIÓN,EDUCACIÓN,DIRECTIVO,DIRECTIVO,0,0,0.18619,0,0,0.554286,0,0,0,0,0,0,0,0,0,0.259524,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,CENTRAL,0,TERRITORIAL,476
TÉCNICO,POSTGRADO,EMPRESA SOCIAL DEL ESTADO,LA DORADA,ESCALAFONADO EN CARRERA,NO APLICA,PROFESIONAL,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0.214405,0,0,0,0.61131,0,0,0,0,0,0.174286,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0.666667,0,0,0,0,0,0.166667,1,CENTRAL,0,NACIONAL,192
ASISTENCIAL,POSTGRADO,ESPECIAL,RIOHACHA,ESCALAFONADO EN CARRERA,NO APLICA,PROFESIONAL,PROFESIONAL,0,0.136978,0,0,0,0.380974,0,0,0,0,0,0,0,0,0,0.482048,0,0,0,0,0,0,0,0.142857,0,0,0,0.285714,0,0,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,0,1,CENTRAL,0,NACIONAL,205
DIRECTIVO,POSTGRADO,PROCURADURÍA GENERAL DE LA NACIÓN,ARAUCA,LIBRE NOMBRAMIENTO Y REMOCIÓN,DEFENSA,PROFESIONAL,PROFESIONAL,0,0,0,0,0,0.17381,0,0,0,0,0,0,0,0,0,0.548095,0,0,0,0,0,0.278095,0,0.0666667,0.0761905,0,0,0.238095,0,0,0,0,0,0,0,0,0,0.47619,0,0,0,0,0,0.142857,1,CENTRAL,0,TERRITORIAL,281
